Scan;model;mouse;side;treatment;area(px^2)
195320;LM02;211;L;DTX;43110686
195605;LM02;201;L;ED2;161744954
195915;LM02;202;R;ED2;127749148
200156;LM02;218;R;DTX;61954507
200521;LM02;202;L;ED2;183796521
200832;LM02;225;L;ED1;66159346
201107;LM02;206;L;ED1;100487268
201405;LM02;216;R;ED1;61168459
201729;LM02;204;R;ED2;242260742
202118;LM02;209;R;DTX;141653787
202413;LM02;209;L;DTX;34032652
202756;LM04;568;R;ED1;229438889
203119;LM04;562;R;ED1;154737086
203334;LM04;570;NA;ED2;98005297
203622;LM02;208;NA;CTR;115792778
203921;LM04;575;NA;DTX;178711260
204415;LM04;79;NA;CTR;131995257
